,Quarter,CPALTT01USQ657N,Date,SMI,Total Purchase Amount
0,2020Q1,0.4194274219471019,2020-01-01,103.168655676974,45744832
1,2020Q1,0.4194274219471019,2020-02-01,103.085317769706,45744832
2,2020Q1,0.4194274219471019,2020-03-01,88.660356355416,45744832
3,2020Q2,-0.5400354172367319,2020-04-01,70.4635233440383,45641043
4,2020Q2,-0.5400354172367319,2020-05-01,85.165925021434,45641043
5,2020Q2,-0.5400354172367319,2020-06-01,95.8491190984992,45641043
6,2020Q3,1.13148537465285,2020-07-01,96.6524577347711,46899933
7,2020Q3,1.13148537465285,2020-08-01,97.3815085610401,46899933
8,2020Q3,1.13148537465285,2020-09-01,99.7445846059867,46899933
9,2020Q4,0.229950250160706,2020-10-01,100.414721967489,46591696
10,2020Q4,0.229950250160706,2020-11-01,99.8007234906634,46591696
11,2020Q4,0.229950250160706,2020-12-01,98.6734479185234,46591696
12,2021Q1,1.07311440024275,2021-01-01,104.329131019148,45112173
13,2021Q1,1.07311440024275,2021-02-01,95.6351475639181,45112173
14,2021Q1,1.07311440024275,2021-03-01,121.957698372837,45112173
15,2021Q2,2.3397886944835298,2021-04-01,135.148577714411,45657051
16,2021Q2,2.3397886944835298,2021-05-01,123.092600358174,45657051
17,2021Q2,2.3397886944835298,2021-06-01,110.883445428135,45657051
18,2021Q3,1.6009753139137095,2021-07-01,112.293389782346,46900393
19,2021Q3,1.6009753139137095,2021-08-01,110.333771309252,46900393
20,2021Q3,1.6009753139137095,2021-09-01,109.575240914946,46900393
21,2021Q4,1.5177614267615402,2021-10-01,110.513139367045,46002864
22,2021Q4,1.5177614267615402,2021-11-01,111.16337687792,46002864
23,2021Q4,1.5177614267615402,2021-12-01,109.409460889811,46002864
24,2022Q1,2.28346447244157,2022-01-01,102.00954116619673,45174813
25,2022Q1,2.28346447244157,2022-02-01,109.00981238654512,45174813
26,2022Q1,2.28346447244157,2022-03-01,99.89604738186,45174813
27,2022Q2,2.97383289846637,2022-04-01,99.89687761715004,46299953
28,2022Q2,2.97383289846637,2022-05-01,97.27039019940656,46299953
29,2022Q2,2.97383289846637,2022-06-01,98.6621940404217,46299953
30,2022Q3,1.3146621458422,2022-07-01,98.9492965446192,46178450
31,2022Q3,1.3146621458422,2022-08-01,99.67330048880852,46178450
32,2022Q3,1.3146621458422,2022-09-01,98.35808409955008,46178450
33,2022Q4,0.3671612754496719,2022-10-01,98.65566877247292,46691511
34,2022Q4,0.3671612754496719,2022-11-01,95.77583109978131,46691511
35,2022Q4,0.3671612754496719,2022-12-01,99.67031304514155,46691511
36,2023Q1,1.0449065567158,2023-01-01,99.8865132490998,45576239
37,2023Q1,1.0449065567158,2023-02-01,98.9422790173454,45576239
38,2023Q1,1.0449065567158,2023-03-01,96.0541542534874,45576239
39,2023Q2,1.19233217201163,2023-04-01,96.82036380272,45439449
40,2023Q2,1.19233217201163,2023-05-01,96.8444592667034,45439449
41,2023Q2,1.19233217201163,2023-06-01,96.4007229198887,45439449
42,2023Q3,0.8664265465993198,2023-07-01,96.6045093867614,37435899
43,2023Q3,0.8664265465993198,2023-08-01,96.7951325963735,37435899
44,2023Q3,0.8664265465993198,2023-09-01,95.9603058586487,37435899
